title,year,tg,tg_adj,op,op_adj,tg_theaters,op_theaters,opdate,cldate,days,budget
Harry Potter and the Deathly Hallows Part 2,2011.0,381011219,659.76,169189427,38671.869,4375,4375,7/15/2011,11/24/2011,132.0,
Transformers: Dark of the Moon,2011.0,352390543,813.219,97852865,23936.611,4088,4088,6/29/2011,10/13/2011,106.0,195000000.0
The Twilight Saga: Breaking Dawn Part 1,2011.0,281287133,713.199,138122261,34011.884,4066,4061,11/18/2011,2/23/2012,97.0,110000000.0
The Hangover Part II,2011.0,254464305,618.232,85946294,23774.908,3675,3615,5/26/2011,9/15/2011,112.0,80000000.0
Pirates of the Caribbean: On Stranger Tides,2011.0,241071802,438.593,90151958,21697.222,4164,4155,5/20/2011,9/29/2011,132.0,250000000.0
Fast Five,2011.0,209837675,531.946,86198765,23654.985,3793,3644,4/29/2011,8/11/2011,104.0,125000000.0
Mission: Impossible - Ghost Protocol,2011.0,209397903,499.173,12785204,30082.833,3555,425,12/16/2011,4/12/2012,118.0,145000000.0
Cars 2,2011.0,191452396,267.388,66135507,16071.812,4115,4115,6/24/2011,12/15/2011,174.0,200000000.0
Sherlock Holmes: A Game of Shadows,2011.0,186848418,454.583,39637079,10704.045,3703,3703,12/16/2011,4/5/2012,111.0,
Thor,2011.0,181030624,411.533,65723338,16617.785,3963,3955,5/6/2011,8/25/2011,111.0,150000000.0
Rise of the Planet of the Apes,2011.0,176760185,362.799,54806191,15023.627,3691,3648,8/5/2011,12/15/2011,132.0,93000000.0
Captain America: The First Avenger,2011.0,176654505,428.394,65058524,17512.389,3715,3715,7/22/2011,11/10/2011,111.0,140000000.0
The Help,2011.0,169708112,266.856,26044590,10278.054,3014,2534,8/10/2011,3/8/2012,211.0,25000000.0
Bridesmaids,2011.0,169106725,411.29,26247410,8995.0,2958,2918,5/13/2011,9/29/2011,139.0,32500000.0
Kung Fu Panda 2,2011.0,165249063,331.857,47656302,12141.733,3952,3925,5/26/2011,9/29/2011,126.0,150000000.0
Puss in Boots,2011.0,149260504,301.308,34077439,8622.834,3963,3952,10/28/2011,3/1/2012,125.0,130000000.0
X-Men: First Class,2011.0,146408305,336.064,55101604,15133.646,3692,3641,6/3/2011,9/29/2011,118.0,160000000.0
Rio,2011.0,143619809,256.038,39225962,10252.473,3842,3826,4/15/2011,9/8/2011,146.0,90000000.0
The Smurfs,2011.0,142614158,299.388,35611637,10489.437,3427,3395,7/29/2011,12/15/2011,139.0,110000000.0
Alvin and the Chipmunks: Chipwrecked,2011.0,133110742,204.875,23244744,6243.552,3734,3723,12/16/2011,6/7/2012,174.0,75000000.0
Super 8,2011.0,127004179,334.165,35451168,10491.615,3424,3379,6/10/2011,9/29/2011,111.0,50000000.0
Rango,2011.0,123477607,251.802,38079323,9721.553,3923,3917,3/4/2011,7/7/2011,125.0,135000000.0
Horrible Bosses,2011.0,117538559,337.877,28302165,9309.923,3134,3040,7/8/2011,10/27/2011,111.0,35000000.0
Green Lantern,2011.0,116601172,293.806,53174303,13934.566,3816,3816,6/17/2011,9/29/2011,104.0,200000000.0
Hop,2011.0,108085305,393.301,37543710,10490.0,3616,3579,4/1/2011,6/16/2011,76.0,63000000.0
Paranormal Activity 3,2011.0,104028807,411.175,52568183,15829.022,3329,3321,10/21/2011,1/5/2012,76.0,5000000.0
Just Go With It,2011.0,103028109,299.365,30514732,8600.545,3548,3548,2/11/2011,5/19/2011,97.0,80000000.0
The Girl with the Dragon Tattoo (2011),2011.0,102515793,377.73,12768604,4381.813,2950,2914,12/21/2011,3/22/2012,92.0,90000000.0
Bad Teacher,2011.0,100292856,296.34,31603106,10365.072,3049,3049,6/24/2011,10/13/2011,111.0,20000000.0
Cowboys & Aliens,2011.0,100240551,275.282,36431290,9715.011,3754,3750,7/29/2011,11/3/2011,97.0,163000000.0
Gnomeo and Juliet,2011.0,99967670,249.368,25356909,8469.241,3037,2994,2/11/2011,6/23/2011,132.0,
The Green Hornet,2011.0,98780042,284.138,33526876,9354.597,3584,3584,1/14/2011,4/21/2011,97.0,120000000.0
The Lion King (in 3D),2011.0,94242001,341.308,30151614,12940.607,2340,2330,9/16/2011,1/12/2012,118.0,
The Muppets,2011.0,88631237,192.275,29239026,8499.717,3440,3440,11/23/2011,4/5/2012,134.0,45000000.0
Real Steel,2011.0,85468508,188.223,27319677,7941.767,3440,3440,10/7/2011,2/16/2012,132.0,
"Crazy, Stupid, Love.",2011.0,84351197,236.702,19104303,6325.928,3020,3020,7/29/2011,11/24/2011,118.0,50000000.0
Battle: Los Angeles,2011.0,83552429,294.602,35573187,10410.649,3417,3417,3/11/2011,6/2/2011,83.0,70000000.0
Immortals,2011.0,83504017,257.347,32206425,10349.108,3120,3112,11/11/2011,2/23/2012,104.0,75000000.0
The Descendants,2011.0,82584160,261.433,1190096,41037.793,2038,29,11/16/2011,4/19/2012,155.0,
Zookeeper,2011.0,80360843,207.918,20065617,5762.67,3482,3482,7/8/2011,10/27/2011,111.0,80000000.0
War Horse,2011.0,79884879,215.161,7515402,3163.048,2856,2376,12/25/2011,5/3/2012,130.0,66000000.0
Limitless,2011.0,79249455,251.571,18907302,6860.414,2838,2756,3/18/2011,7/7/2011,111.0,27000000.0
Tower Heist,2011.0,78046570,224.079,24025190,7135.489,3870,3367,11/4/2011,2/2/2012,90.0,75000000.0
The Adventures of Tintin,2011.0,77591831,273.207,9720993,3149.01,3087,3087,12/21/2011,3/22/2012,92.0,
Contagion,2011.0,75658097,242.08,22403596,6953.32,3222,3222,9/9/2011,12/15/2011,97.0,60000000.0
We Bought a Zoo,2011.0,75624550,163.399,9360434,3003.027,3170,3117,12/23/2011,5/17/2012,146.0,
Moneyball,2011.0,75605492,189.784,19501302,6515.637,3018,2993,9/23/2011,2/2/2012,132.0,50000000.0
Jack and Jill,2011.0,74158157,201.59,25003575,7272.709,3438,3438,11/11/2011,2/26/2012,107.0,79000000.0
Hugo,2011.0,73864507,200.867,11364505,8899.377,2608,1277,11/23/2011,4/12/2012,141.0,
Justin Bieber: Never Say Never,2011.0,73013910,260.188,29514054,9505.331,3118,3105,2/11/2011,5/12/2011,90.0,13000000.0
Dolphin Tale,2011.0,72286779,164.522,19152401,5461.192,3515,3507,9/23/2011,1/26/2012,125.0,37000000.0
No Strings Attached,2011.0,70662220,304.841,19652921,6511.902,3050,3018,1/21/2011,4/7/2011,76.0,25000000.0
Mr. Popper's Penguins,2011.0,68224452,163.314,18445355,5524.215,3342,3339,6/17/2011,10/20/2011,125.0,55000000.0
Happy Feet Two,2011.0,64006466,159.688,21237068,5889.37,3611,3606,11/18/2011,3/8/2012,111.0,
Unknown,2011.0,63686397,252.154,21856389,7182.514,3043,3043,2/18/2011,5/12/2011,83.0,30000000.0
The Adjustment Bureau,2011.0,62495645,264.475,21157730,7449.905,2847,2840,3/4/2011,5/26/2011,83.0,50200000.0
Water for Elephants,2011.0,58709717,187.559,16842353,5978.826,2820,2817,4/22/2011,8/11/2011,111.0,38000000.0
The Lincoln Lawyer,2011.0,58009200,171.435,13206453,4878.631,2707,2707,3/18/2011,7/21/2011,125.0,40000000.0
Midnight in Paris,2011.0,56817045,178.297,599003,99833.833,1038,6,5/20/2011,3/22/2012,307.0,17000000.0
Friends with Benefits,2011.0,55802754,307.602,18622150,6364.371,2926,2926,7/22/2011,9/22/2011,62.0,35000000.0
I Am Number Four,2011.0,55100437,167.874,19449893,6166.738,3156,3154,2/18/2011,6/2/2011,104.0,60000000.0
Source Code,2011.0,54712227,177.071,14812094,5002.396,2971,2961,4/1/2011,7/14/2011,104.0,32000000.0
New Year's Eve,2011.0,54544638,204.763,13019180,3714.459,3505,3505,12/9/2011,2/23/2012,76.0,56000000.0
Insidious,2011.0,54009150,139.544,13271464,5511.405,2419,2408,4/1/2011,9/8/2011,160.0,1500000.0
Tyler Perry's Madea's Big Happy Family,2011.0,53345287,259.058,25068677,10956.59,2288,2288,4/22/2011,7/21/2011,90.0,
Diary of a Wimpy Kid: Rodrick Rules,2011.0,52698535,149.814,23751502,7499.685,3169,3167,3/25/2011,7/14/2011,111.0,21000000.0
